S.N,Name,No of Transactions,Max Price,Min Price,Closing Price,Traded Share,Amount,Previous Closing Price,Difference Rs
1,Agriculture Development Bank Limited,233,416.00,400.00,405.00,51446.00,20980918.00,416.00,"-11.00 
                                             
"
2,Ankhu Khola Jalvidhyut Company Ltd,31,53.00,52.00,53.00,760.00,39780.00,53.00,"0.00 
                                            
"
3,Api Power Company Ltd.,155,133.00,126.00,131.00,61204.00,7937524.00,133.00,"-2.00 
                                             
"
4,Arun Kabeli Power Ltd.,148,128.00,122.00,123.00,70594.00,8808471.00,126.00,"-3.00 
                                             
"
5,Arun Valley Hydropower Development Co. Ltd.,32,101.00,98.00,99.00,11600.00,1154401.00,98.00,"1.00 
                                            
"
6,Asha Laghubitta Bittiya Sanstha Ltd,125,737.00,657.00,685.00,5006.00,3483324.00,670.00,"15.00 
                                            
"
7,Asian Life Insurance Co. Limited,223,607.00,562.00,580.00,47843.00,27807667.00,584.00,"-4.00 
                                             
"
8,Bank of Kathmandu Limited Promoter Share,1,147.00,147.00,147.00,28762.00,4228014.00,147.00,"0.00 
                                            
"
9,Bank of Kathmandu Ltd.,190,252.00,236.00,248.00,47257.00,11627264.00,249.00,"-1.00 
                                             
"
10,Barun Hydropower Co. Ltd.,17,95.00,92.00,95.00,1469.00,138066.00,95.00,"0.00 
                                            
"
11,Best Finance Company Ltd.,24,110.00,101.00,104.00,5690.00,587710.00,104.00,"0.00 
                                            
"
12,Bishal Bazar Company Limited,9,1828.00,1731.00,1792.00,410.00,734840.00,1758.00,"34.00 
                                            
"
13,Bottlers Nepal (Terai) Limited,4,7423.00,6997.00,7423.00,45.00,324020.00,6860.00,"563.00 
                                            
"
14,Butwal Power Company Limited,122,368.00,354.00,360.00,14606.00,5285824.00,364.00,"-4.00 
                                             
"
15,Central Finance Co. Ltd.,28,149.00,134.00,138.00,3650.00,495490.00,136.00,"2.00 
                                            
"
16,Century Commercial Bank Ltd.,249,192.00,183.00,185.00,79941.00,14888177.00,186.00,"-1.00 
                                             
"
17,Chhimek Laghubitta Bikas Bank Limited,208,1123.00,982.00,1070.00,19040.00,20172191.00,1021.00,"49.00 
                                            
"
18,Chhyangdi Hydropower Ltd.,7,98.00,95.00,95.00,104.00,9970.00,99.00,"-4.00 
                                             
"
19,Chilime Hydropower Company Limited,115,423.00,397.00,409.00,23092.00,9515782.00,420.00,"-11.00 
                                             
"
20,Citizen Bank International Limited,236,208.00,202.00,204.00,62896.00,12869100.00,208.00,"-4.00 
                                             
"
21,Citizen Investment Trust,177,2780.00,2608.00,2680.00,12252.00,32898301.00,2705.00,"-25.00 
                                             
"
22,Citizens Mutual Fund -1,10,9.65,9.35,9.64,28800.00,276311.00,9.47,"0.17 
                                            
"
23,Civil Bank Ltd,201,153.00,147.00,149.00,123569.00,18378871.00,150.00,"-1.00 
                                             
"
24,Civil Bank Ltd Promoter Share,1,100.00,100.00,100.00,55354.00,5535400.00,100.00,"0.00 
                                            
"
25,Civil Laghubitta Bittiya Sanstha Ltd.,82,1168.00,1021.00,1124.00,8557.00,9214785.00,1102.00,"22.00 
                                            
"
26,Corporate Development Bank Limited,8,131.00,128.00,129.00,5210.00,676700.00,126.00,"3.00 
                                            
"
27,Deprosc Laghubitta Bittiya Sanstha Limited,235,928.00,784.00,856.00,27432.00,23626887.00,868.00,"-12.00 
                                             
"
28,Dibyashwori Hydropower Ltd.,18,52.00,50.00,51.00,677.00,35007.00,51.00,"0.00 
                                            
"
29,Everest Bank Limited,318,777.00,707.00,751.00,48163.00,35973942.00,764.00,"-13.00 
                                             
"
30,Everest Insurance Co. Ltd.,206,418.00,391.00,411.00,35273.00,14291592.00,410.00,"1.00 
                                            
"
31,Excel Development Bank Ltd.,39,400.00,384.00,396.00,7497.00,2950714.00,390.00,"6.00 
                                            
"
32,First Micro Finance Development Bank Ltd.,300,549.00,476.00,514.00,55076.00,27995368.00,503.00,"11.00 
                                            
"
33,Forward Community Microfinance Bittiya Sanstha Ltd.,154,1610.00,1426.00,1518.00,10711.00,16030159.00,1464.00,"54.00 
                                            
"
34,Ganapati Microfinance Bittiya Sanstha Limited,62,846.00,766.00,845.00,1640.00,1313275.00,796.00,"49.00 
                                            
"
35,Garima Bikas Bank Limited,171,257.00,237.00,257.00,101032.00,24690603.00,245.00,"12.00 
                                            
"
36,Ghalemdi Hydro Limited,6,69.00,66.00,66.00,150.00,10130.00,68.00,"-2.00 
                                             
"
37,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,29,837.00,740.00,810.00,400.00,313700.00,770.00,"40.00 
                                            
"
38,Global IME Bank Limited,482,290.00,285.00,286.00,208951.00,60036301.00,288.00,"-2.00 
                                             
"
39,Global IME Laghubitta Bittiya Sanstha Ltd.,64,1393.00,1263.00,1364.00,5195.00,6975409.00,1340.00,"24.00 
                                            
"
40,Global IME Samunnat Scheme-1,2,9.20,9.16,9.20,3700.00,33960.00,9.34,"-0.14 
                                             
"
41,Goodwill Finance Co. Ltd.,9,163.00,157.00,158.00,2399.00,380642.00,157.00,"1.00 
                                            
"
42,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,378,530.00,472.00,502.00,73377.00,36811496.00,488.00,"14.00 
                                            
"
43,Green Development Bank Ltd.,17,125.00,119.00,122.00,6152.00,746667.00,123.00,"-1.00 
                                             
"
44,Guheshowori Merchant Bank & Finance Co. Ltd.,14,141.00,136.00,139.00,3240.00,446188.00,139.00,"0.00 
                                            
"
45,Gurans Laghubitta Bittiya Sanstha Limited,64,680.00,617.00,680.00,2639.00,1698323.00,656.00,"24.00 
                                            
"
46,Gurans Life Insurance Company Ltd.,564,507.00,458.00,494.00,71907.00,35096067.00,470.00,"24.00 
                                            
"
47,Gurkhas Finance Ltd.,28,135.00,126.00,130.00,15507.00,2021880.00,130.00,"0.00 
                                            
"
48,Himal Dolakha Hydropower Company Limited,9,116.00,107.00,107.00,160.00,17370.00,118.00,"-11.00 
                                             
"
49,Himalaya Urja Bikas Company Limited,36,108.00,100.00,108.00,2280.00,235320.00,102.00,"6.00 
                                            
"
50,Himalayan Bank Limited,123,632.00,590.00,604.00,16434.00,9974723.00,610.00,"-6.00 
                                             
"
51,Himalayan Distillery Limited,416,1670.00,1564.00,1616.00,39721.00,64480027.00,1619.00,"-3.00 
                                             
"
52,Himalayan General Insurance Co. Ltd,122,412.00,392.00,405.00,21553.00,8667041.00,401.00,"4.00 
                                            
"
53,Himalayan Power Partner Ltd.,54,147.00,142.00,145.00,1080.00,156130.00,147.00,"-2.00 
                                             
"
54,Hydorelectricity Investment and Development Company Ltd,141,141.00,136.00,138.00,31980.00,4386483.00,138.00,"0.00 
                                            
"
55,ICFC Finance Limited,30,198.00,183.00,188.00,9457.00,1774959.00,189.00,"-1.00 
                                             
"
56,IME General Insurance Ltd.,55,441.00,415.00,417.00,8478.00,3635574.00,436.00,"-19.00 
                                             
"
57,Infinity Laghubitta Bittiya Sanstha Limited,153,814.00,712.00,774.00,4504.00,3381572.00,740.00,"34.00 
                                            
"
58,Janaki Finance Ltd.,9,178.00,174.00,175.00,2729.00,480572.00,176.00,"-1.00 
                                             
"
59,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,55,1601.00,1466.00,1600.00,2518.00,3842399.00,1495.00,"105.00 
                                            
"
60,Joshi Hydropower Development Company Ltd,26,61.00,59.00,61.00,490.00,29620.00,61.00,"0.00 
                                            
"
