,t,o,h,l,c,v
0,1310980500,168,168,151,151,48287
1,1311066900,148,149,146,148,179515
2,1311153300,147,151,147,148,447398
3,1311239700,148,151,147,148,249063
4,1311498900,151,151,142,144,143701
5,1311585300,141,141,141,141,6245
6,1311671700,141,141,141,141,39346
7,1311758100,140,148,139,148,379006
8,1311844500,145,146,142,146,79181
9,1312103700,144,145,143,143,54747
10,1312190100,142,143,142,143,18301
11,1312276500,141,142,139,142,161835
12,1312362900,144,144,139,142,71347
13,1312449300,140,144,140,144,47385
14,1312708500,142,142,139,142,34156
15,1312794900,144,144,136,137,222449
16,1312881300,137,138,135,138,156120
17,1312967700,136,143,135,141,87126
18,1313054100,143,144,139,141,34355
19,1313140500,138,138,138,138,917
20,1313399700,139,143,137,140,209433
21,1313486100,141,141,138,140,155316
22,1313572500,141,141,136,138,856373
23,1313658900,140,142,139,142,100572
24,1314004500,140,140,137,138,111188
25,1314090900,138,138,137,137,47135
26,1314177300,138,138,134,137,183882
27,1314263700,139,139,134,135,110800
28,1314350100,135,135,135,135,5076
29,1314522900,135,135,133,133,71162
30,1314609300,135,135,133,134,73940
31,1314695700,134,139,133,139,82136
32,1314868500,137,139,135,135,175750
33,1315127700,134,137,134,137,176638
34,1315214100,137,138,134,134,118808
35,1315300500,136,136,131,131,144771
36,1315386900,133,134,131,134,119142
37,1315473300,133,133,131,131,75226
38,1315559700,131,131,129,129,3426
39,1315818900,132,136,130,136,131699
40,1315905300,134,134,128,134,244126
41,1315991700,131,133,130,131,244133
42,1316078100,129,139,129,139,579564
43,1316164500,141,141,141,141,1243
44,1316510100,126,127,126,127,8310
45,1316596500,127,129,122,124,9364
46,1316682900,123,124,121,124,110036
47,1316769300,124,124,124,124,1101
48,1316942100,126,126,126,126,1396
49,1317028500,124,128,124,128,27201
50,1317114900,126,129,123,128,164961
51,1317287700,126,128,124,126,20365
52,1317374100,124,124,124,124,274
53,1317546900,124,125,124,125,13840
54,1318151700,127,127,125,125,12695
55,1318238100,125,129,125,127,10502
56,1318410900,128,131,128,131,2890
57,1318497300,132,132,132,132,1465
58,1318756500,134,134,134,134,4905
59,1318929300,150,150,148,148,4900
60,1319015700,145,145,138,142,95744
61,1319102100,140,140,132,134,59735
62,1319361300,132,133,132,132,64584
63,1319447700,134,140,134,137,17458
64,1319534100,135,135,135,135,2687
65,1319966100,133,133,132,132,8913
66,1320052500,134,139,134,139,4610
67,1320225300,141,151,141,151,42246
68,1320311700,150,150,138,146,43880
69,1320570900,144,144,133,139,404581
70,1320743700,136,136,131,136,133351
71,1320830100,134,138,134,138,27896
72,1320916500,136,138,134,138,17530
73,1321175700,135,135,131,135,46471
74,1321262100,133,135,133,135,13191
75,1321348500,138,138,131,132,81241
76,1321434900,134,134,129,129,293491
77,1321521300,131,132,131,132,32111
78,1321607700,132,132,132,132,292
79,1321780500,130,133,129,131,208431
80,1321866900,129,131,129,131,38076
81,1321953300,129,129,128,129,35167
82,1322039700,127,133,127,133,58571
83,1322126100,135,135,135,135,1499
84,1322385300,133,133,133,133,1473
85,1322471700,131,131,125,128,368442
86,1322558100,126,128,125,128,44925
87,1322644500,128,128,126,128,21325
88,1322730900,130,130,123,125,829332
89,1322817300,125,125,125,125,1382
90,1322990100,127,127,124,126,120515
91,1323076500,125,126,125,126,98557
92,1323162900,125,125,123,123,61213
93,1323249300,124,125,123,123,182546
