,t,o,h,l,c,v
0,1320311700,54,54,53,53,4609.0
1,1320570900,53,53,52,52,5303.0
2,1320743700,51,51,51,51,3746.0
3,1321175700,51,51,51,51,6606.0
4,1321262100,51,51,51,51,9356.0
5,1321348500,50,50,49,49,10407.0
6,1321434900,49,49,48,48,6799.0
7,1321521300,48,48,47,47,5983.0
8,1321780500,47,47,46,46,531993.0
9,1321866900,46,46,46,46,468596.0
10,1321953300,46,47,46,47,1138725.0
11,1322039700,47,47,46,46,694713.0
12,1322126100,46,47,46,47,724227.0
13,1322385300,47,47,46,47,1254218.0
14,1322471700,47,47,46,47,543989.0
15,1322558100,47,47,46,47,881096.0
16,1322644500,47,47,47,47,1261556.0
17,1322730900,47,47,47,47,1298247.0
18,1322990100,48,48,48,48,5416.0
19,1323594900,47,47,47,47,6660.0
20,1323681300,46,47,46,47,91445.0
21,1323767700,47,47,46,46,104574.0
22,1323854100,47,47,47,47,66721.0
23,1323940500,47,47,47,47,52722.0
24,1324199700,47,47,47,47,3951.0
25,1324286100,47,47,47,47,38045.0
26,1324372500,47,47,47,47,14676.0
27,1324458900,47,47,47,47,12644.0
28,1324545300,47,47,47,47,8636.0
29,1324890900,47,47,47,47,8636.0
30,1324977300,47,47,47,47,25345.0
31,1325063700,47,47,47,47,44706.0
32,1325150100,47,47,47,47,100759.0
33,1325409300,47,47,47,47,121476.0
34,1325495700,47,47,47,47,30030.0
35,1325582100,47,48,47,47,63391.0
36,1325668500,47,47,47,47,106122.0
37,1325754900,48,48,47,48,64020.0
38,1326014100,48,48,47,48,67420.0
39,1326100500,48,48,48,48,66094.0
40,1326186900,48,48,48,48,47655.0
41,1326273300,48,48,48,48,68111.0
42,1326359700,48,48,48,48,115824.0
43,1326705300,48,48,48,48,74911.0
44,1326791700,48,48,48,48,89259.0
45,1326878100,48,48,48,48,81768.0
46,1326964500,48,48,48,48,36072.0
47,1327223700,48,48,48,48,68111.0
48,1327310100,48,48,48,48,39472.0
49,1327482900,48,48,48,48,9507.0
50,1327569300,48,48,48,48,20398.0
51,1327828500,48,48,48,48,109658.0
52,1328001300,48,48,48,48,94676.0
53,1328087700,48,48,48,48,4033.0
54,1328174100,48,48,48,48,42238.0
55,1328433300,48,48,48,48,29272.0
56,1328519700,48,48,48,48,55146.0
57,1328606100,48,48,48,48,34747.0
58,1328692500,48,48,48,48,158062.0
59,1328778900,48,48,48,48,38147.0
60,1329038100,48,48,48,48,26564.0
61,1329124500,48,49,48,48,19707.0
62,1329210900,48,48,48,48,16999.0
63,1329297300,48,48,48,48,57912.0
64,1329383700,48,48,48,48,49729.0
65,1329815700,48,48,48,48,132189.0
66,1329988500,48,48,48,48,54512.0
67,1330247700,48,48,48,48,6799.0
68,1330334100,48,48,48,48,78311.0
69,1330420500,48,48,48,48,4033.0
70,1330506900,48,48,48,48,2708.0
71,1330593300,48,48,48,48,15616.0
72,1330938900,48,48,48,48,23164.0
73,1331025300,48,49,48,49,20815.0
74,1331457300,49,49,48,48,42238.0
75,1331543700,48,48,48,48,2016.0
76,1331630100,48,49,48,49,34045.0
77,1331716500,49,49,48,49,107721.0
78,1331802900,49,49,49,49,87553.0
79,1332062100,49,49,49,49,25695.0
80,1332148500,49,49,49,49,4116.0
81,1332234900,48,49,48,49,19462.0
82,1332321300,48,49,48,49,78556.0
83,1332666900,49,49,48,48,58545.0
84,1332753300,48,49,48,49,13171.0
85,1332839700,49,49,49,49,18757.0
86,1332926100,49,49,49,49,6938.0
87,1333012500,48,48,48,48,8124.0
88,1333271700,48,49,48,49,20109.0
89,1333358100,49,49,49,49,99372.0
90,1333444500,49,49,49,49,93844.0
91,1333530900,49,49,49,49,89670.0
92,1333617300,49,49,49,49,5527.0
93,1333876500,49,49,49,49,48627.0
94,1333962900,49,49,49,49,59094.0
95,1334049300,49,50,49,49,103546.0
