,t,o,h,l,c,v
0,1310980500,250,252,224,229,573081.0
1,1311066900,229,236,229,236,484630.0
2,1311153300,241,245,237,242,311255.0
3,1311239700,240,246,240,244,496433.0
4,1311498900,240,240,224,235,300761.0
5,1311585300,231,231,231,231,21528.0
6,1311671700,226,226,223,225,232584.0
7,1311758100,224,231,222,231,741825.0
8,1311844500,232,233,228,230,210095.0
9,1312103700,225,225,221,223,189990.0
10,1312190100,223,224,222,223,173921.0
11,1312276500,223,226,222,226,212773.0
12,1312362900,224,224,220,221,232526.0
13,1312449300,220,224,220,224,40247.0
14,1312881300,219,219,210,211,246655.0
15,1312967700,209,220,207,220,391132.0
16,1313054100,224,224,217,217,39562.0
17,1313399700,219,222,216,218,509864.0
18,1313486100,215,219,215,218,355108.0
19,1313572500,216,220,216,220,223898.0
20,1313658900,219,219,217,218,110796.0
21,1314004500,217,217,216,216,35515.0
22,1314090900,214,216,214,214,143813.0
23,1314177300,214,216,212,212,189257.0
24,1314263700,210,210,209,210,134099.0
25,1314522900,207,207,190,190,29946.0
26,1314609300,185,185,170,170,232649.0
27,1314695700,170,177,166,177,2255471.0
28,1314868500,176,178,174,176,450574.0
29,1315127700,174,174,173,174,231224.0
30,1315214100,173,173,170,170,336003.0
31,1315300500,167,170,164,164,468291.0
32,1315386900,160,164,160,161,209825.0
33,1315473300,160,160,158,158,346142.0
34,1315818900,160,160,156,160,114079.0
35,1315905300,161,169,161,169,59818.0
36,1315991700,166,166,161,162,246603.0
37,1316078100,162,165,162,165,41472.0
38,1316337300,162,162,158,160,121057.0
39,1316423700,162,164,160,164,214861.0
40,1316510100,165,167,162,167,56988.0
41,1316596500,165,169,165,169,73669.0
42,1316682900,173,173,170,171,83378.0
43,1316942100,171,171,167,167,59439.0
44,1317028500,171,171,169,169,53577.0
45,1317114900,167,169,167,167,145785.0
46,1317287700,171,171,170,170,116878.0
47,1317546900,174,174,174,174,75168.0
48,1318497300,174,175,174,175,162552.0
49,1318756500,178,178,173,173,77409.0
50,1318842900,172,172,169,169,183384.0
51,1318929300,172,172,168,169,88402.0
52,1319015700,171,171,166,166,105800.0
53,1319102100,164,167,161,167,351641.0
54,1319361300,166,166,163,163,77920.0
55,1319447700,163,163,157,160,143553.0
56,1319534100,158,163,151,163,422374.0
57,1319966100,160,160,160,160,6343.0
58,1320052500,160,162,160,162,93611.0
59,1320225300,165,178,165,177,406404.0
60,1320311700,181,181,166,166,325984.0
61,1320570900,166,166,160,160,339702.0
62,1320743700,160,160,158,159,152176.0
63,1320830100,159,159,158,158,218341.0
64,1320916500,158,158,157,157,97028.0
65,1321175700,154,155,154,155,35573.0
66,1321262100,158,158,154,155,135198.0
67,1321434900,156,156,156,156,74021.0
68,1321521300,159,162,159,162,6151.0
69,1321780500,160,160,157,158,131019.0
70,1321866900,157,157,155,155,29439.0
71,1321953300,155,155,154,155,223500.0
72,1322039700,154,154,154,154,35855.0
73,1322126100,154,154,153,153,37104.0
74,1322385300,154,158,154,158,59780.0
75,1322471700,155,156,155,156,33195.0
76,1322558100,154,156,154,154,51466.0
77,1322644500,154,157,154,154,58540.0
78,1322730900,155,158,155,155,64768.0
79,1322990100,158,160,158,158,240001.0
80,1323076500,157,157,157,157,37192.0
81,1323162900,157,157,157,157,84800.0
82,1323249300,156,158,155,156,144841.0
83,1323335700,155,155,155,155,78414.0
84,1323594900,157,158,151,151,245360.0
85,1323681300,149,149,146,146,275044.0
86,1323767700,147,147,144,146,321027.0
87,1323854100,149,151,146,151,69933.0
88,1323940500,149,149,146,149,413240.0
