,t,o,h,l,c,v
0,1310980500,43,43,43,43,1155
1,1311153300,44,45,44,45,45318
2,1311239700,45,45,44,44,8704
3,1311498900,44,44,44,44,1585
4,1311585300,43,43,43,43,3739
5,1312103700,43,43,43,43,30798
6,1312276500,44,46,44,46,4456
7,1312362900,45,45,45,45,8851
8,1312535700,45,45,45,45,141
9,1312794900,45,45,45,45,11029
10,1312881300,44,45,44,45,21634
11,1313486100,46,46,46,46,24796
12,1313572500,46,46,46,46,2156
13,1314090900,45,45,45,45,8497
14,1314177300,45,45,45,45,7070
15,1314522900,44,44,43,43,5125
16,1314609300,42,42,42,42,178316
17,1314695700,42,42,42,42,790
18,1314868500,42,42,42,42,25185
19,1315127700,42,42,42,42,2014
20,1315300500,42,42,42,42,1781
21,1315386900,41,41,41,41,3887
22,1315905300,41,41,40,40,9336
23,1316337300,39,39,39,39,2804
24,1316423700,39,39,39,39,927
25,1316942100,40,41,40,41,2568
26,1317028500,40,40,40,40,2647
27,1317287700,41,41,41,41,963
28,1318151700,41,41,41,41,770
29,1318238100,41,41,41,41,963
30,1319447700,41,41,41,41,1961
31,1320225300,42,42,42,42,1331
32,1320311700,43,44,43,44,3505
33,1320570900,44,45,44,45,2427
34,1320743700,46,46,46,46,16304
35,1320830100,45,46,45,46,9637
36,1320916500,46,50,46,49,49379
37,1321175700,50,50,50,50,32685
38,1321262100,49,49,47,47,16760
39,1321348500,46,46,45,45,284214
40,1321434900,45,46,45,45,55711
41,1321521300,45,46,45,46,145306
42,1321780500,45,45,45,45,59387
43,1321866900,45,46,45,46,1940
44,1322126100,45,45,44,44,8132
45,1322212500,44,44,44,44,347
46,1322385300,45,45,45,45,1699
47,1322471700,45,45,45,45,3546
48,1323162900,44,45,44,45,35914
49,1323249300,45,45,45,45,48500
50,1323940500,44,44,44,44,1665
51,1324372500,44,44,44,44,1668
52,1324631700,44,44,44,44,1320
53,1324977300,43,43,43,43,1637
54,1325063700,44,44,44,44,11469
55,1325150100,45,45,45,45,23331
56,1325668500,44,44,42,42,200208
57,1325754900,42,42,42,42,25139
58,1326359700,43,46,43,46,18087
59,1326446100,46,46,46,46,942
60,1326705300,47,47,47,47,14775
61,1326791700,46,47,46,47,5910
62,1327223700,47,47,47,47,3313
63,1327310100,47,47,46,46,38416
64,1327569300,46,46,46,46,27513
65,1327828500,46,46,46,46,10993
66,1328001300,46,47,46,47,18615
67,1328087700,47,47,47,47,41636
68,1328174100,47,47,47,47,3717
69,1328433300,47,47,47,47,3367
70,1328519700,48,48,48,48,15247
71,1328606100,47,48,47,48,76543
72,1328692500,48,48,48,48,1131
73,1329210900,47,48,47,48,3393
74,1329297300,49,49,48,48,3267
75,1329988500,48,48,48,48,10422
76,1330247700,48,48,48,48,13011
77,1330506900,49,49,49,49,4084
78,1330593300,49,49,49,49,2297
79,1330679700,48,48,48,48,375
80,1330852500,49,49,49,49,8271
81,1330938900,49,49,48,49,10339
82,1331025300,49,49,49,49,3343
83,1331284500,49,49,49,49,382
84,1331457300,49,49,49,49,38881
85,1331543700,48,49,48,49,2174
86,1331630100,49,49,49,49,1553
87,1331716500,49,49,49,49,96468
88,1332148500,48,48,48,48,334020
