,t,o,h,l,c,v
0,1311498900,58,58,58,58,5565
1,1311758100,57,57,57,57,8598
2,1311844500,56,56,56,56,25357
3,1312190100,55,56,55,56,24127
4,1312276500,55,55,55,55,9163
5,1312362900,55,55,55,55,3032
6,1312708500,55,55,55,55,16963
7,1313054100,55,55,55,55,4146
8,1313486100,54,54,54,54,523878
9,1314004500,54,54,54,54,1541701
10,1314177300,55,55,55,55,9951
11,1314263700,55,55,55,55,21039
12,1314522900,55,55,55,55,20052
13,1314609300,55,55,55,55,2261
14,1315127700,54,54,54,54,1496
15,1315300500,55,56,55,56,28450
16,1315386900,57,59,57,59,89438
17,1315473300,58,62,58,62,247254
18,1315818900,61,61,59,59,27385
19,1316423700,59,59,58,58,21292
20,1316510100,57,58,57,58,58619
21,1316596500,58,59,58,59,78561
22,1316942100,59,59,58,58,1260655
23,1317028500,58,60,58,59,1308818
24,1317114900,59,59,59,59,56524
25,1319361300,60,61,60,61,32634
26,1320052500,61,61,61,61,842
27,1320311700,61,61,61,61,178352
28,1320570900,61,61,61,61,12634
29,1320743700,62,64,61,61,66202
30,1320916500,61,61,61,61,22198
31,1321175700,62,62,62,62,147413
32,1321348500,62,62,62,62,69204
33,1321434900,63,63,63,63,22770
34,1321780500,63,64,63,63,726737
35,1321866900,64,64,64,64,878
36,1321953300,65,65,65,65,886
37,1322039700,64,64,63,63,152224
38,1322126100,64,64,64,64,539371
39,1322385300,65,65,64,64,7543
40,1322471700,64,64,64,64,8684
41,1323249300,64,64,63,63,34367
42,1323335700,63,63,63,63,98426
43,1323940500,62,62,62,62,169805
44,1324372500,62,63,62,63,30990
45,1324458900,64,66,64,65,12080
46,1324545300,65,65,64,64,7071
47,1324890900,65,67,65,67,13705
48,1324977300,67,67,67,67,21380
49,1325063700,66,66,66,66,11936
50,1326359700,67,69,67,69,12211
51,1326705300,69,69,69,69,1897
52,1328174100,69,69,69,69,4696
53,1328519700,68,68,65,65,39494
54,1328606100,64,64,64,64,36311
55,1329038100,64,64,64,64,17317
56,1329210900,64,64,64,64,5771
57,1329297300,64,64,64,64,50325
58,1329383700,64,64,64,64,26264
59,1329815700,64,64,64,64,23708
60,1330247700,65,66,65,66,113692
61,1330334100,65,65,65,65,8948
62,1330420500,65,65,65,65,12324
63,1330506900,65,65,65,65,7158
64,1330593300,66,66,66,66,4507
65,1330938900,65,65,65,65,59941
66,1331025300,65,65,64,64,112286
67,1331284500,64,64,64,64,175
68,1331457300,64,64,64,64,54644
69,1331543700,64,64,64,64,17626
70,1331630100,64,64,64,64,122774
71,1332062100,64,64,63,63,57535
72,1332148500,64,64,63,63,51203
73,1332666900,63,63,63,63,15133
74,1332839700,63,64,63,64,17169
75,1332926100,64,64,64,64,95452
76,1333444500,64,64,64,64,16304
77,1333530900,65,65,64,64,86549
78,1333876500,64,64,64,64,4715
79,1334135700,64,64,64,64,4406
80,1334222100,65,65,65,65,4440
81,1334740500,65,67,65,67,140970
82,1334826900,67,68,66,66,26746
83,1335086100,67,67,67,67,10754
84,1335258900,68,69,68,69,162186
85,1335431700,70,70,70,70,1918
86,1335690900,71,71,71,71,2132
87,1335777300,72,72,72,72,23051
88,1336036500,74,75,74,75,2259
89,1336382100,75,75,75,75,5135137
90,1336900500,76,78,76,78,31822
91,1337073300,79,80,79,80,21701
92,1337159700,80,81,80,81,13199
93,1337246100,81,83,81,83,49728
94,1337505300,84,87,84,84,72536
95,1337591700,85,85,85,85,6800
96,1339060500,86,86,86,86,17967
97,1339406100,87,87,86,86,16003
98,1342084500,85,85,84,84,8738
99,1342430100,85,85,85,85,9189
100,1342602900,84,84,83,83,58858
101,1342689300,84,84,84,84,23157
102,1342948500,83,83,80,80,432587
103,1343034900,79,80,77,80,1796055
104,1343121300,79,79,79,79,5397
105,1343294100,79,79,79,79,5350
106,1343553300,78,79,78,79,84758
107,1343639700,79,79,79,79,55743
108,1343726100,80,80,80,80,14466
109,1343812500,80,81,80,81,70822
110,1344158100,82,82,82,82,20121
111,1346577300,82,83,82,83,45371
112,1346663700,83,83,83,83,15046
113,1346750100,83,83,83,83,27245
114,1346836500,83,85,82,85,505283
115,1346922900,84,87,84,87,126263
116,1347182100,88,93,88,92,574733
117,1347268500,93,93,91,92,191648
118,1347354900,91,93,91,92,854883
119,1347441300,92,93,91,92,1055678
120,1347527700,93,95,93,95,40648
121,1347786900,97,100,97,100,32711
122,1347873300,101,102,100,101,103693
123,1347959700,100,101,98,98,992145
124,1348046100,97,98,97,97,173707
125,1348132500,95,95,94,94,71404
126,1348391700,95,97,95,97,11509
127,1348478100,95,97,94,97,227101
128,1348564500,95,95,95,95,1304
129,1348650900,94,95,93,95,151236
130,1348737300,96,96,95,96,342190
131,1348996500,97,97,97,97,8800
132,1349082900,97,98,96,97,1249852
