,t,o,h,l,c,v
0,1310980500,62,65,58,58,879491
1,1311066900,59,61,59,61,587778
2,1311153300,61,62,61,62,1357974
3,1311239700,61,62,61,62,1102029
4,1311326100,62,62,62,62,687
5,1311498900,62,62,59,60,514056
6,1311585300,59,60,58,60,128403
7,1311671700,59,60,58,59,177354
8,1311758100,59,60,57,58,351067
9,1311844500,59,62,58,60,572932
10,1312103700,60,61,58,59,490003
11,1312190100,58,59,57,58,202953
12,1312276500,58,58,58,58,180367
13,1312362900,57,60,57,57,316611
14,1312449300,57,59,57,58,737711
15,1312535700,58,59,57,59,6761
16,1312708500,59,59,56,56,529811
17,1312794900,56,57,56,56,621254
18,1312881300,55,58,54,56,662921
19,1312967700,56,58,56,58,240698
20,1313054100,58,59,57,58,312872
21,1313140500,57,57,57,57,211
22,1313399700,58,60,57,58,519067
23,1313486100,58,58,56,58,541497
24,1313572500,58,58,56,57,480799
25,1313658900,57,58,56,57,824833
26,1313745300,56,56,56,56,835
27,1314004500,56,58,56,58,119493
28,1314090900,57,59,57,57,450672
29,1314177300,57,58,56,56,391872
30,1314263700,57,58,57,57,161255
31,1314350100,56,57,56,57,1059
32,1314522900,57,57,55,56,402362
33,1314609300,56,56,56,56,219732
34,1314695700,57,57,56,57,144740
35,1314868500,57,59,56,58,243572
36,1315127700,57,58,56,56,229584
37,1315214100,56,56,56,56,210538
38,1315300500,55,56,55,55,249009
39,1315386900,54,56,54,55,464846
40,1315473300,55,56,54,55,173967
41,1315559700,55,55,55,55,1811
42,1315818900,55,55,52,52,262107
43,1315905300,52,53,51,53,88067
44,1315991700,52,53,52,52,319874
45,1316078100,51,52,51,52,139590
46,1316337300,52,52,50,51,261078
47,1316423700,52,52,51,52,189897
48,1316510100,53,54,52,52,255572
49,1316596500,52,53,52,53,318428
50,1316682900,52,55,52,54,207257
51,1316942100,55,55,52,53,262320
52,1317028500,53,53,52,53,185668
53,1317114900,53,53,53,53,107927
54,1317287700,53,54,53,53,160469
55,1317374100,53,53,53,53,1077
56,1317546900,54,56,54,55,216435
57,1318151700,54,54,54,54,86925
58,1318238100,54,54,53,53,141901
59,1318410900,53,54,52,54,203597
60,1318497300,54,56,53,54,271529
61,1318583700,54,54,53,54,1288
62,1318756500,53,55,53,53,198994
63,1318842900,54,55,54,54,102237
64,1318929300,54,54,53,53,175358
65,1319015700,52,53,52,53,238037
66,1319102100,52,53,52,53,676437
67,1319361300,53,54,53,54,278482
68,1319447700,53,54,53,54,189263
69,1319534100,54,54,53,54,149948
70,1319966100,54,54,53,54,102533
71,1320052500,54,55,54,54,215320
72,1320225300,55,58,55,58,167281
73,1320311700,59,60,56,56,840696
74,1320398100,57,57,57,57,2307
75,1320570900,57,57,56,56,175133
76,1320743700,56,56,55,56,872623
77,1320830100,56,56,55,55,230536
78,1320916500,55,56,54,56,929763
79,1321002900,56,56,55,56,2882
80,1321175700,55,57,55,56,666800
81,1321262100,56,56,55,56,1052269
82,1321348500,56,56,54,56,627404
83,1321434900,57,57,54,54,313995
84,1321521300,54,55,53,54,202094
85,1321607700,53,53,53,53,292
86,1321780500,54,55,54,55,235221
87,1321866900,55,55,54,54,244058
88,1321953300,53,55,53,55,29852
89,1322126100,55,55,54,54,148263
90,1322212500,53,53,53,53,1373
91,1322385300,55,55,54,54,199042
92,1322471700,55,56,55,56,8753
93,1322558100,55,55,54,54,38158
94,1322644500,55,55,54,55,18506
95,1322730900,54,56,54,55,72118
96,1322817300,54,55,54,55,2614
97,1322990100,54,54,54,54,6061
98,1323076500,54,54,53,54,128411
99,1323162900,54,55,54,55,41473
100,1323249300,54,54,53,54,36118
101,1323335700,54,55,53,54,149455
102,1323422100,53,53,53,53,784
103,1323594900,55,55,53,53,42657
