,t,o,h,l,c,v
0,1310980500,71,71,70,70,31534
1,1311066900,69,69,68,68,57375
2,1311153300,68,68,67,68,121091
3,1311239700,67,67,67,67,43729
4,1311498900,68,69,67,68,116420
5,1311585300,67,68,66,66,122609
6,1311671700,66,66,66,66,4302
7,1311758100,66,66,66,66,28969
8,1311844500,66,66,66,66,173974
9,1312103700,66,67,66,67,89853
10,1312190100,67,67,67,67,88347
11,1312276500,68,69,67,69,40084
12,1312362900,69,70,69,69,119117
13,1312449300,69,69,68,68,91999
14,1312708500,68,68,67,68,60545
15,1312794900,68,68,68,68,2201
16,1312881300,68,68,68,68,164025
17,1312967700,68,68,68,68,12192
18,1313054100,68,68,67,67,214958
19,1313399700,67,67,67,67,6513
20,1313572500,66,67,66,67,51989
21,1313658900,66,67,66,67,15198
22,1314004500,66,67,66,67,41446
23,1314090900,67,67,66,66,151648
24,1314177300,66,66,66,66,32037
25,1314522900,66,66,65,66,51503
26,1314609300,66,66,66,66,119891
27,1314868500,66,66,66,66,72399
28,1315127700,66,66,66,66,127384
29,1315214100,66,66,65,66,161257
30,1315300500,66,66,64,65,115011
31,1315386900,64,64,64,64,35616
32,1315473300,64,65,64,65,140671
33,1315818900,65,65,64,64,61954
34,1315905300,64,64,64,64,67205
35,1315991700,64,65,64,65,108658
36,1316078100,65,65,64,64,16800
37,1316337300,64,65,64,65,25322
38,1316423700,65,65,64,65,79895
39,1316510100,66,66,65,65,34088
40,1316596500,65,65,65,65,42509
41,1316682900,65,66,65,66,74036
42,1316942100,66,66,66,66,32189
43,1317028500,65,66,65,66,56190
44,1317114900,66,67,66,66,16207
45,1317287700,67,69,67,68,448110
46,1317546900,68,68,68,68,116420
47,1318151700,68,68,68,68,4433
48,1318238100,68,68,68,68,3324
49,1318410900,68,69,68,69,32364
50,1318497300,69,69,68,68,100406
51,1318756500,69,69,68,68,142987
52,1318842900,69,69,69,69,1116
53,1318929300,68,68,68,68,38794
54,1319015700,68,68,68,68,17734
55,1319102100,69,69,67,67,246442
56,1319361300,67,68,67,67,634455
57,1319447700,68,68,67,67,88552
58,1319534100,67,68,67,68,59854
59,1319966100,68,68,68,68,37427
60,1320052500,68,70,68,69,544498
61,1320225300,69,70,69,70,2256
62,1320311700,70,71,70,70,94819
63,1320570900,70,70,69,70,84660
64,1320743700,69,70,69,69,89697
65,1320830100,69,69,69,69,77188
66,1320916500,69,69,69,69,29995
67,1321175700,69,69,68,68,17734
68,1321262100,69,69,68,69,94431
69,1321348500,68,69,68,68,228397
70,1321434900,67,69,67,69,246100
71,1321521300,69,70,69,70,58566
72,1321780500,70,70,69,69,77944
73,1321866900,69,69,68,68,53083
74,1321953300,68,68,68,68,272532
75,1322039700,68,68,68,68,15482
76,1322126100,68,69,68,68,138553
77,1322385300,68,68,68,68,84047
78,1322471700,68,69,68,69,8887
79,1322558100,69,69,69,69,3332
80,1322644500,69,69,69,69,85212
81,1322730900,69,69,68,69,45549
82,1322990100,68,68,68,68,35388
83,1323076500,68,69,68,69,30063
84,1323162900,69,69,69,69,12219
85,1323249300,69,69,69,69,3348
86,1323335700,69,69,69,69,52214
87,1323594900,69,69,68,68,76306
88,1323681300,68,69,68,69,37771
89,1323767700,68,69,68,68,85349
90,1323854100,68,68,68,68,16626
91,1323940500,69,69,69,69,50454
92,1324286100,69,69,69,69,54939
93,1324372500,69,70,69,70,47515
94,1324458900,69,70,69,69,302287
95,1324545300,69,69,69,69,95303
96,1324890900,69,69,69,69,15661
97,1324977300,69,69,68,68,65098
98,1325063700,68,68,68,68,48436
99,1325150100,68,69,68,68,37686
100,1325409300,68,68,68,68,7758
101,1325495700,69,69,69,69,57310
102,1325582100,70,70,69,69,12276
103,1325668500,68,68,68,68,17653
104,1325754900,69,69,68,68,22066
105,1326014100,69,69,68,69,66657
106,1326100500,69,69,69,69,2242
107,1326186900,69,69,67,69,120530
108,1326273300,69,69,69,69,76656
109,1326359700,69,69,69,69,77944
110,1326705300,69,69,69,69,10020
111,1326791700,68,69,68,69,124710
112,1326878100,69,69,69,69,52333
113,1327223700,68,69,68,69,182613
114,1327310100,69,69,68,69,48993
115,1327482900,69,69,69,69,22372
116,1327569300,69,69,69,69,91939
117,1327828500,69,69,68,68,114750
118,1328001300,68,69,68,69,83701
119,1328087700,69,69,68,69,34679
120,1328174100,69,69,68,69,39993
121,1328433300,69,69,69,69,14441
122,1328519700,69,69,69,69,7776
123,1328606100,69,69,68,68,161831
124,1328692500,68,69,68,69,116066
125,1328778900,69,69,69,69,141413
126,1329038100,69,69,68,68,77590
127,1329124500,68,69,68,69,241628
128,1329210900,69,69,68,69,85933
129,1329297300,69,71,69,71,224868
130,1329383700,76,76,74,74,32339
131,1329988500,73,73,73,73,7130
132,1330247700,69,70,69,70,195546
133,1330334100,70,71,70,70,29549
134,1330593300,70,70,70,70,2272
135,1330852500,70,70,69,69,3372
136,1331025300,69,69,69,69,20070
137,1331457300,69,69,69,69,6689
138,1331543700,69,69,69,69,3353
139,1331630100,69,69,69,69,8895
140,1331716500,69,69,69,69,123319
141,1332062100,69,70,69,70,40582
142,1332148500,69,70,69,70,3381
143,1332234900,69,69,69,69,10062
144,1332321300,69,69,69,69,2235
145,1332666900,69,69,69,69,10006
146,1332753300,68,69,68,69,109271
147,1332839700,69,69,69,69,1120
148,1332926100,69,69,69,69,98933
149,1333012500,70,70,70,70,23736
150,1333271700,69,70,69,70,56667
151,1333358100,70,70,70,70,57962
152,1333617300,70,70,70,70,13638
153,1333962900,71,71,71,71,10282
154,1334049300,71,71,71,71,22973
155,1334135700,72,72,72,72,114633
156,1334222100,72,72,72,72,32935
157,1334567700,73,73,73,73,2370
158,1334654100,72,73,72,72,72740
159,1334740500,72,72,72,72,16425
160,1334826900,73,75,73,75,160931
161,1335086100,76,78,76,78,42699
162,1335258900,78,78,78,78,740968
163,1335345300,78,78,78,78,5060
164,1335431700,80,81,80,80,141266
165,1335690900,81,84,80,84,308728
166,1335777300,85,85,84,85,13692
167,1336036500,86,86,86,86,24867
168,1336382100,86,86,86,86,2786
169,1336468500,86,86,86,86,17407
170,1336554900,85,85,81,81,257563
171,1336641300,80,81,80,80,201099
172,1337073300,80,83,80,83,136046
173,1337246100,84,85,80,81,282926
174,1337505300,80,80,79,80,60498
175,1337591700,80,81,79,80,290380
176,1337678100,80,81,80,81,75346
177,1337850900,80,80,80,80,349735
178,1338110100,80,80,80,80,3886
179,1338282900,80,80,76,76,44055
180,1338369300,76,76,73,73,529686
181,1338455700,72,75,72,75,375090
182,1338542100,75,75,75,75,1454
183,1338714900,75,76,75,76,10096
184,1338801300,77,77,76,76,385444
185,1338887700,76,76,75,76,61476
186,1338974100,76,76,75,76,96793
187,1339060500,76,78,75,77,631683
188,1339319700,77,77,77,77,106711
189,1339406100,77,77,76,77,19401
190,1339492500,76,76,76,76,16173
191,1339578900,76,76,75,76,92873
192,1339665300,76,76,75,75,104132
193,1339924500,75,76,75,76,88445
194,1340010900,75,75,74,75,94851
195,1340097300,76,76,75,76,56014
196,1340183700,76,76,75,75,84610
197,1340270100,75,76,75,75,40576
198,1340615700,75,75,75,75,8310
199,1340702100,75,76,75,76,38962
200,1340874900,75,76,74,76,61752
201,1340961300,76,76,76,76,1469
202,1341134100,76,76,75,76,73704
203,1341220500,76,77,76,77,87309
204,1341306900,77,77,77,77,33828
205,1341393300,76,79,76,78,115354
206,1341479700,79,79,78,78,87040
207,1341738900,79,79,78,78,63706
208,1341825300,78,79,78,79,23644
209,1341911700,79,79,77,78,201933
210,1341998100,77,79,77,79,194466
211,1342084500,79,79,78,78,43013
212,1342343700,79,79,79,79,32113
213,1342430100,80,80,79,80,128752
214,1342516500,80,80,80,80,223886
215,1342602900,80,81,80,81,212605
216,1342689300,82,84,81,84,586721
217,1342948500,85,88,85,87,609438
218,1343034900,87,87,86,87,826108
219,1343121300,86,87,85,87,170597
220,1343207700,88,88,86,87,683307
221,1343294100,87,87,86,86,420341
222,1343380500,86,86,86,86,828
223,1343553300,86,86,84,85,289009
224,1343639700,86,87,86,87,335864
225,1343726100,87,87,87,87,219784
226,1343812500,86,88,85,88,308421
227,1344158100,87,92,87,92,869961
228,1344244500,93,95,89,90,598857
229,1344330900,91,94,91,93,1289587
230,1344417300,92,92,90,90,289032
231,1344590100,90,90,90,90,877
232,1344762900,91,91,90,90,117280
233,1344849300,90,90,88,88,416284
234,1344935700,89,93,89,92,135801
235,1345022100,91,91,88,88,43395
236,1345108500,88,89,88,89,460455
237,1345194900,88,88,88,88,1723
238,1345367700,89,89,89,89,143127
